y=938, x=593..595
x=543, y=986..998
x=487, y=1294..1318
x=618, y=102..123
y=1038, x=520..541
x=557, y=152..159
x=583, y=1517..1527
x=534, y=986..997
x=541, y=1457..1459
x=499, y=154..174
y=995, x=586..614
y=1776, x=521..523
x=594, y=84..91
x=515, y=9..21
y=854, x=519..537
x=560, y=668..693
x=495, y=630..643
x=508, y=51..57
y=157, x=451..471
y=1136, x=471..473
x=463, y=46..49
x=490, y=370..383
x=514, y=99..110
y=582, x=531..534
y=294, x=600..605
y=1016, x=577..600
x=515, y=573..585
x=599, y=1852..1872
x=613, y=726..740
x=608, y=1543..1568
y=1885, x=466..543
y=748, x=465..516
x=525, y=1617..1627
x=512, y=306..315
y=520, x=475..494
y=428, x=529..541
x=581, y=637..660
x=471, y=1133..1136
x=533, y=1578..1592
y=1247, x=473..499
x=529, y=419..428
y=681, x=449..468
x=523, y=1184..1210
x=505, y=1108..1126
y=596, x=567..584
x=532, y=1554..1567
x=598, y=602..615
x=598, y=1333..1337
x=465, y=540..553
x=586, y=773..800
x=463, y=820..833
y=1466, x=461..467
y=145, x=605..607
x=510, y=1031..1033
x=461, y=76..84
x=619, y=638..656
x=516, y=1842..1846
x=498, y=1467..1472
x=500, y=1543..1551
x=473, y=1228..1247
y=917, x=555..561
x=590, y=426..437
x=563, y=1343..1353
x=514, y=1059..1083
x=478, y=1789..1799
x=517, y=792..793
y=101, x=487..489
y=1834, x=483..486
x=572, y=1347..1349
x=475, y=1059..1063
y=199, x=437..456
x=519, y=843..854
y=1682, x=573..580
x=438, y=1286..1300
x=503, y=1955..1963
x=514, y=987..997
x=485, y=817..843
x=534, y=1045..1059
y=1458, x=485..499
y=1207, x=447..463
x=523, y=419..428
y=1933, x=489..495
y=1214, x=545..548
x=483, y=1180..1182
y=1521, x=607..609
x=502, y=1747..1758
x=555, y=907..917
y=255, x=448..471
y=147, x=510..534
x=483, y=411..423
x=479, y=1077..1087
x=495, y=1510..1512
x=449, y=1643..1648
x=502, y=694..704
x=549, y=1716..1732
x=563, y=1154..1166
x=466, y=167..178
x=613, y=307..324
x=483, y=1914..1923
x=501, y=1330..1337
x=592, y=240..251
x=535, y=450..451
y=150, x=588..614
x=548, y=1598..1603
y=1263, x=506..525
x=573, y=257..258
x=448, y=189..195
x=535, y=441..445
x=578, y=953..955
x=510, y=959..987
x=598, y=1131..1143
y=1423, x=593..616
x=573, y=1880..1884
y=1942, x=433..446
x=472, y=520..531
x=592, y=1113..1116
y=796, x=567..575
y=648, x=434..459
x=597, y=1243..1253
x=445, y=1453..1465
x=502, y=670..682
x=472, y=993..1015
x=601, y=525..544
x=522, y=436..438
y=1083, x=506..514
x=469, y=325..336
y=1253, x=570..597
y=639, x=487..489
x=475, y=230..232
x=493, y=1955..1963
x=495, y=697..709
x=483, y=1208..1211
x=457, y=766..768
x=480, y=1502..1516
x=581, y=294..316
x=524, y=1238..1249
x=495, y=1744..1754
x=610, y=70..73
x=603, y=1896..1911
y=626, x=542..559
x=460, y=1432..1435
x=567, y=1637..1647
y=195, x=448..450
y=1603, x=548..559
x=464, y=419..439
y=956, x=496..507
x=495, y=49..62
x=576, y=847..853
y=1527, x=562..583
x=577, y=559..566
x=556, y=391..401
x=616, y=1577..1595
x=504, y=694..704
y=1353, x=538..555
x=585, y=1044..1051
y=1066, x=464..483
x=527, y=668..671
x=559, y=1775..1779
y=1694, x=449..451
y=635, x=447..450
x=569, y=921..942
x=444, y=778..800
y=992, x=522..528
x=543, y=1416..1434
y=1626, x=544..546
x=456, y=669..672
y=831, x=512..528
x=507, y=955..956
x=562, y=376..378
y=217, x=437..450
y=1405, x=518..601
x=539, y=391..401
y=197, x=522..549
x=470, y=1502..1516
x=475, y=992..1015
y=1884, x=571..573
x=549, y=191..197
x=499, y=1229..1247
y=1195, x=437..463
x=528, y=1005..1018
y=1442, x=584..601
x=494, y=847..868
x=515, y=905..919
y=577, x=499..502
y=1012, x=446..448
y=1162, x=573..604
x=528, y=820..831
y=1685, x=492..496
x=442, y=1231..1233
x=601, y=1449..1459
x=528, y=1080..1084
x=617, y=414..440
x=465, y=572..574
y=490, x=492..496
x=573, y=1602..1624
x=588, y=141..150
x=489, y=29..39
x=587, y=929..946
y=197, x=564..570
x=607, y=337..346
x=612, y=749..765
y=258, x=573..575
x=557, y=236..254
x=508, y=1724..1738
x=573, y=848..876
y=1702, x=601..609
x=599, y=1074..1078
y=226, x=511..514
x=513, y=611..623
x=549, y=1535..1546
x=474, y=589..600
x=569, y=1022..1037
x=471, y=437..451
y=1353, x=451..465
y=1520, x=570..576
x=542, y=602..626
x=593, y=932..938
y=1947, x=452..472
y=1552, x=438..452
y=154, x=458..462
y=545, x=508..510
x=465, y=1344..1353
x=547, y=1935..1944
x=467, y=1767..1778
x=485, y=74..86
y=543, x=508..510
x=585, y=266..275
y=1870, x=482..488
x=562, y=39..67
x=598, y=748..765
y=1900, x=585..587
x=581, y=1959..1971
x=575, y=793..796
x=455, y=558..560
x=589, y=1352..1363
x=574, y=1471..1484
x=484, y=1768..1778
x=544, y=1623..1626
y=1949, x=539..558
